,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,ivabc,2,0,0.9056603773584906,582.3828365802765
1,dry-climates,3,32,522,ivabc,2,1,0.9245283018867925,576.3175208568573
2,dry-climates,3,32,522,ivabc,2,2,0.9245283018867925,259.61761832237244
3,dry-climates,3,32,522,ivabc,2,3,1.0,318.6536228656769
4,dry-climates,3,32,522,ivabc,2,4,0.8867924528301887,627.3697628974915
5,dry-climates,3,32,522,ivabc,2,5,0.9423076923076923,734.7440366744995
6,dry-climates,3,32,522,ivabc,2,6,0.9615384615384616,361.2606735229492
7,dry-climates,3,32,522,ivabc,2,7,0.8461538461538461,464.86265206336975
8,dry-climates,3,32,522,ivabc,2,8,1.0,465.059308052063
9,dry-climates,3,32,522,ivabc,2,9,1.0,430.5552775859833
