,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,ivabc,4,0,0.9696969696969697,96.60299444198608
1,european-climates,2,32,324,ivabc,4,1,0.9393939393939394,125.31234884262085
2,european-climates,2,32,324,ivabc,4,2,0.9090909090909091,91.45010352134705
3,european-climates,2,32,324,ivabc,4,3,0.9696969696969697,158.18541955947876
4,european-climates,2,32,324,ivabc,4,4,0.9393939393939394,174.71569347381592
5,european-climates,2,32,324,ivabc,4,5,0.9696969696969697,94.18504595756531
6,european-climates,2,32,324,ivabc,4,6,0.96875,61.667691707611084
7,european-climates,2,32,324,ivabc,4,7,0.96875,59.053751707077026
8,european-climates,2,32,324,ivabc,4,8,0.9354838709677419,57.46316647529602
9,european-climates,2,32,324,ivabc,4,9,0.9032258064516129,58.804364919662476
