,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,ivabc,1,0,0.9433962264150944,413.0669090747833
1,dry-climates,3,32,522,ivabc,1,1,0.9811320754716981,496.404319524765
2,dry-climates,3,32,522,ivabc,1,2,0.9433962264150944,837.7966294288635
3,dry-climates,3,32,522,ivabc,1,3,0.9622641509433962,591.2154893875122
4,dry-climates,3,32,522,ivabc,1,4,0.9811320754716981,418.9540686607361
5,dry-climates,3,32,522,ivabc,1,5,0.9230769230769231,499.4974534511566
6,dry-climates,3,32,522,ivabc,1,6,0.9615384615384616,388.44495844841003
7,dry-climates,3,32,522,ivabc,1,7,0.9615384615384616,362.1539161205292
8,dry-climates,3,32,522,ivabc,1,8,0.9607843137254902,358.2613821029663
9,dry-climates,3,32,522,ivabc,1,9,0.98,333.9080603122711
