,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,ivabc,1,0,0.9393939393939394,101.10165357589722
1,european-climates,2,32,324,ivabc,1,1,0.9090909090909091,85.0232105255127
2,european-climates,2,32,324,ivabc,1,2,1.0,57.94536519050598
3,european-climates,2,32,324,ivabc,1,3,0.9393939393939394,48.85828709602356
4,european-climates,2,32,324,ivabc,1,4,0.9696969696969697,60.16951012611389
5,european-climates,2,32,324,ivabc,1,5,1.0,79.10774731636047
6,european-climates,2,32,324,ivabc,1,6,0.9375,172.74498319625854
7,european-climates,2,32,324,ivabc,1,7,0.96875,91.61368918418884
8,european-climates,2,32,324,ivabc,1,8,1.0,223.39776182174683
9,european-climates,2,32,324,ivabc,1,9,0.967741935483871,101.8422040939331
