dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
dataset1,2,4,400,DecisionTree,7,7,0.975,0.0
dataset1,2,4,400,DecisionTree,7,8,1.0,0.002015352249145508
dataset1,2,4,400,DecisionTree,7,9,1.0,0.0020177364349365234
dataset1,2,4,400,DecisionTree,8,0,1.0,0.0020105838775634766
dataset1,2,4,400,DecisionTree,8,1,0.975,0.0020096302032470703
dataset1,2,4,400,DecisionTree,8,2,1.0,0.002007722854614258
dataset1,2,4,400,DecisionTree,8,3,1.0,0.0020096302032470703
dataset1,2,4,400,DecisionTree,8,4,1.0,0.0020112991333007812
dataset1,2,4,400,DecisionTree,8,5,1.0,0.0020117759704589844
dataset1,2,4,400,DecisionTree,8,6,1.0,0.007791757583618164
dataset1,2,4,400,DecisionTree,8,7,1.0,0.002012491226196289
dataset1,2,4,400,DecisionTree,8,8,1.0,0.0020127296447753906
dataset1,2,4,400,DecisionTree,8,9,0.975,0.002009868621826172
dataset1,2,4,400,DecisionTree,9,0,1.0,0.002009153366088867
dataset1,2,4,400,DecisionTree,9,1,1.0,0.0017523765563964844
dataset1,2,4,400,DecisionTree,9,2,1.0,0.0020089149475097656
dataset1,2,4,400,DecisionTree,9,3,0.975,0.0020089149475097656
dataset1,2,4,400,DecisionTree,9,4,0.975,0.0020110607147216797
dataset1,2,4,400,DecisionTree,9,5,1.0,0.0020127296447753906
dataset1,2,4,400,DecisionTree,9,6,1.0,0.0020105838775634766
dataset1,2,4,400,DecisionTree,9,7,1.0,0.002010345458984375
dataset1,2,4,400,DecisionTree,9,8,1.0,0.0017552375793457031
dataset1,2,4,400,DecisionTree,9,9,0.975,0.0020134449005126953
dataset1,2,4,400,SVM,0,0,0.975,0.019797086715698242
dataset1,2,4,400,SVM,0,1,1.0,0.004035472869873047
dataset1,2,4,400,SVM,0,2,0.975,0.0037713050842285156
dataset1,2,4,400,SVM,0,3,1.0,0.0791311264038086
dataset1,2,4,400,SVM,0,4,1.0,0.004019737243652344
dataset1,2,4,400,SVM,0,5,1.0,0.003995418548583984
dataset1,2,4,400,SVM,0,6,1.0,0.0039980411529541016
dataset1,2,4,400,SVM,0,7,1.0,0.0076754093170166016
dataset1,2,4,400,SVM,0,8,0.975,0.0049974918365478516
dataset1,2,4,400,SVM,0,9,0.925,0.006053447723388672
dataset1,2,4,400,SVM,1,0,0.975,0.009811162948608398
dataset1,2,4,400,SVM,1,1,1.0,0.004029512405395508
dataset1,2,4,400,SVM,1,2,1.0,0.0040302276611328125
dataset1,2,4,400,SVM,1,3,0.975,0.0037450790405273438
dataset1,2,4,400,SVM,1,4,0.975,0.0
dataset1,2,4,400,SVM,1,5,1.0,0.011235713958740234
dataset1,2,4,400,SVM,1,6,1.0,0.004150867462158203
dataset1,2,4,400,SVM,1,7,0.975,0.0
dataset1,2,4,400,SVM,1,8,1.0,0.013594865798950195
dataset1,2,4,400,SVM,1,9,0.95,0.0040225982666015625
dataset1,2,4,400,SVM,2,0,0.975,0.0
dataset1,2,4,400,SVM,2,1,1.0,0.0050351619720458984
dataset1,2,4,400,SVM,2,2,1.0,0.002009868621826172
dataset1,2,4,400,SVM,2,3,1.0,0.005615711212158203
dataset1,2,4,400,SVM,2,4,1.0,0.0
dataset1,2,4,400,SVM,2,5,0.95,0.004263162612915039
dataset1,2,4,400,SVM,2,6,0.975,0.004027366638183594
dataset1,2,4,400,SVM,2,7,1.0,0.006039857864379883
dataset1,2,4,400,SVM,2,8,0.975,0.00467371940612793
dataset1,2,4,400,SVM,2,9,1.0,0.0053026676177978516
dataset1,2,4,400,SVM,3,0,0.975,0.007661342620849609
dataset1,2,4,400,SVM,3,1,1.0,0.004025459289550781
dataset1,2,4,400,SVM,3,2,0.95,0.004029273986816406
dataset1,2,4,400,SVM,3,3,1.0,0.004026174545288086
dataset1,2,4,400,SVM,3,4,1.0,0.0047321319580078125
dataset1,2,4,400,SVM,3,5,0.975,0.004024028778076172
dataset1,2,4,400,SVM,3,6,1.0,0.0060312747955322266
dataset1,2,4,400,SVM,3,7,0.975,0.00402522087097168
dataset1,2,4,400,SVM,3,8,1.0,0.0040242671966552734
dataset1,2,4,400,SVM,3,9,0.975,0.005356550216674805
dataset1,2,4,400,SVM,4,0,1.0,0.00402522087097168
dataset1,2,4,400,SVM,4,1,0.975,0.006121158599853516
dataset1,2,4,400,SVM,4,2,0.975,0.003996133804321289
dataset1,2,4,400,SVM,4,3,1.0,0.004998445510864258
dataset1,2,4,400,SVM,4,4,0.975,0.005753278732299805
dataset1,2,4,400,SVM,4,5,1.0,0.003996133804321289
dataset1,2,4,400,SVM,4,6,0.975,0.003999233245849609
dataset1,2,4,400,SVM,4,7,0.975,0.004059553146362305
dataset1,2,4,400,SVM,4,8,1.0,0.006027936935424805
dataset1,2,4,400,SVM,4,9,0.975,0.004026651382446289
dataset1,2,4,400,SVM,5,0,0.975,0.00402379035949707
dataset1,2,4,400,SVM,5,1,0.975,0.0040187835693359375
dataset1,2,4,400,SVM,5,2,1.0,0.005768775939941406
dataset1,2,4,400,SVM,5,3,1.0,0.004021883010864258
dataset1,2,4,400,SVM,5,4,1.0,0.0040187835693359375
dataset1,2,4,400,SVM,5,5,1.0,0.005770206451416016
dataset1,2,4,400,SVM,5,6,0.975,0.004016876220703125
dataset1,2,4,400,SVM,5,7,0.975,0.004019737243652344
dataset1,2,4,400,SVM,5,8,0.975,0.004025459289550781
dataset1,2,4,400,SVM,5,9,0.975,0.004025936126708984
dataset1,2,4,400,SVM,6,0,0.975,0.00780034065246582
dataset1,2,4,400,SVM,6,1,0.975,0.0040242671966552734
dataset1,2,4,400,SVM,6,2,1.0,0.0057718753814697266
dataset1,2,4,400,SVM,6,3,0.975,0.0040242671966552734
dataset1,2,4,400,SVM,6,4,1.0,0.004018545150756836
dataset1,2,4,400,SVM,6,5,0.975,0.0037610530853271484
dataset1,2,4,400,SVM,6,6,1.0,0.004018545150756836
dataset1,2,4,400,SVM,6,7,0.975,0.006037712097167969
dataset1,2,4,400,SVM,6,8,0.975,0.00402379035949707
dataset1,2,4,400,SVM,6,9,1.0,0.004017829895019531
dataset1,2,4,400,SVM,7,0,0.975,0.0037636756896972656
dataset1,2,4,400,SVM,7,1,1.0,0.0040187835693359375
dataset1,2,4,400,SVM,7,2,0.975,0.008036613464355469
dataset1,2,4,400,SVM,7,3,0.975,0.05449724197387695
dataset1,2,4,400,SVM,7,4,0.975,0.003997802734375
dataset1,2,4,400,SVM,7,5,1.0,0.005986213684082031
dataset1,2,4,400,SVM,7,6,1.0,0.004000186920166016
dataset1,2,4,400,SVM,7,7,0.975,0.013070106506347656
dataset1,2,4,400,SVM,7,8,1.0,0.0632328987121582
dataset1,2,4,400,SVM,7,9,0.975,0.004017829895019531
dataset1,2,4,400,SVM,8,0,1.0,0.005775928497314453
dataset1,2,4,400,SVM,8,1,0.975,0.004021644592285156
dataset1,2,4,400,SVM,8,2,1.0,0.004021883010864258
dataset1,2,4,400,SVM,8,3,0.975,0.0037658214569091797
dataset1,2,4,400,SVM,8,4,1.0,0.006033420562744141
dataset1,2,4,400,SVM,8,5,1.0,0.003766775131225586
dataset1,2,4,400,SVM,8,6,0.975,0.004023313522338867
dataset1,2,4,400,SVM,8,7,1.0,0.004017829895019531
dataset1,2,4,400,SVM,8,8,0.975,0.003765106201171875
dataset1,2,4,400,SVM,8,9,0.95,0.0040209293365478516
dataset1,2,4,400,SVM,9,0,1.0,0.007790088653564453
dataset1,2,4,400,SVM,9,1,1.0,0.004022121429443359
dataset1,2,4,400,SVM,9,2,0.975,0.0040166378021240234
dataset1,2,4,400,SVM,9,3,0.95,0.0037622451782226562
dataset1,2,4,400,SVM,9,4,1.0,0.004019737243652344
dataset1,2,4,400,SVM,9,5,1.0,0.004023551940917969
dataset1,2,4,400,SVM,9,6,0.975,0.053441524505615234
