dataset,classifier,acc_mean,acc_std
climates,DecisionTree,0.816115772650085,0.029948273960583176
climates,KNN,0.7640210768155029,0.03052140245685167
climates,LogisticRegression,0.8081185695734692,0.031868818526062326
climates,RandomForest,0.8737723504145439,0.028894668278600003
climates,SVM,0.7701693137548696,0.030072187134822747
climates,XGBoost,0.875536409949056,0.02318773585261909
dry_climates,DecisionTree,0.8811756168359942,0.04849160337772522
dry_climates,KNN,0.9317779390420899,0.0291551610012323
dry_climates,LogisticRegression,0.9486465892597968,0.030190334440983235
dry_climates,RandomForest,0.9354172714078375,0.03144284011196206
dry_climates,SVM,0.9599492017416545,0.029363543894695383
dry_climates,XGBoost,0.934256168359942,0.03166071435316733
european_climates,DecisionTree,0.9700757575757577,0.03144374990567911
european_climates,KNN,0.9487878787878787,0.03445317964349192
european_climates,LogisticRegression,0.9583333333333333,0.03318531786727837
european_climates,RandomForest,0.9712215909090909,0.028649406677965644
european_climates,SVM,0.9567518939393939,0.03534586217030129
european_climates,XGBoost,0.9762121212121212,0.025946851002568227
mushroom,DecisionTree,0.59225,0.12063364435510025
mushroom,KNN,0.6859583333333333,0.07808079276758383
mushroom,LogisticRegression,0.7387083333333334,0.012097837573791499
mushroom,RandomForest,0.6594583333333333,0.0777526451998773
mushroom,SVM,0.74,0.008206099398622223
mushroom,XGBoost,0.610875,0.10535583011848519
