,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,wflvq,2,0,0.9090909090909091,34.10768008232117
1,european-climates,2,32,324,wflvq,2,1,0.9090909090909091,23.37181854248047
2,european-climates,2,32,324,wflvq,2,2,0.9393939393939394,28.590672492980957
3,european-climates,2,32,324,wflvq,2,3,0.9090909090909091,28.50524377822876
4,european-climates,2,32,324,wflvq,2,4,1.0,52.3854866027832
5,european-climates,2,32,324,wflvq,2,5,0.9696969696969697,53.253576040267944
6,european-climates,2,32,324,wflvq,2,6,0.9375,21.627514123916626
7,european-climates,2,32,324,wflvq,2,7,0.9375,101.57078146934509
8,european-climates,2,32,324,wflvq,2,8,0.8709677419354839,31.893221139907837
9,european-climates,2,32,324,wflvq,2,9,1.0,60.36270070075989
