,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,wflvq,1,0,0.9393939393939394,28.751840114593506
1,european-climates,2,32,324,wflvq,1,1,0.9090909090909091,37.77366518974304
2,european-climates,2,32,324,wflvq,1,2,0.8484848484848485,23.19627332687378
3,european-climates,2,32,324,wflvq,1,3,0.9393939393939394,19.127107620239258
4,european-climates,2,32,324,wflvq,1,4,0.9696969696969697,24.10198450088501
5,european-climates,2,32,324,wflvq,1,5,0.9696969696969697,53.31476283073425
6,european-climates,2,32,324,wflvq,1,6,0.90625,19.286920309066772
7,european-climates,2,32,324,wflvq,1,7,0.875,23.4611394405365
8,european-climates,2,32,324,wflvq,1,8,0.9354838709677419,18.651031494140625
9,european-climates,2,32,324,wflvq,1,9,0.8709677419354839,15.715261459350586
