Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
4,mushroom,2,3.000000,154,ivabc,0,4,0.733333,18.691275,dataset-mushroom-mc-0.csv,ivabc
5,mushroom,2,3.000000,154,ivabc,0,5,0.666667,16.906385,dataset-mushroom-mc-0.csv,ivabc
6,mushroom,2,3.000000,154,ivabc,0,6,0.733333,10.630899,dataset-mushroom-mc-0.csv,ivabc
7,mushroom,2,3.000000,154,ivabc,0,7,0.666667,19.772644,dataset-mushroom-mc-0.csv,ivabc
8,mushroom,2,3.000000,154,ivabc,0,8,0.733333,27.322261,dataset-mushroom-mc-0.csv,ivabc
9,mushroom,2,3.000000,154,ivabc,0,9,0.733333,17.273322,dataset-mushroom-mc-0.csv,ivabc
0,dataset4,2,2.000000,700,ivabc,0,0,0.985714,58.589624,dataset-dataset4-mc-0.csv,ivabc
1,dataset4,2,2.000000,700,ivabc,0,1,0.914286,25.300255,dataset-dataset4-mc-0.csv,ivabc
2,dataset4,2,2.000000,700,ivabc,0,2,1.000000,26.813606,dataset-dataset4-mc-0.csv,ivabc
3,dataset4,2,2.000000,700,ivabc,0,3,0.914286,39.722410,dataset-dataset4-mc-0.csv,ivabc
4,dataset4,2,2.000000,700,ivabc,0,4,0.957143,68.409650,dataset-dataset4-mc-0.csv,ivabc
5,dataset4,2,2.000000,700,ivabc,0,5,0.971429,31.615229,dataset-dataset4-mc-0.csv,ivabc
6,dataset4,2,2.000000,700,ivabc,0,6,1.000000,66.841502,dataset-dataset4-mc-0.csv,ivabc
7,dataset4,2,2.000000,700,ivabc,0,7,0.957143,27.623574,dataset-dataset4-mc-0.csv,ivabc
8,dataset4,2,2.000000,700,ivabc,0,8,0.900000,29.511367,dataset-dataset4-mc-0.csv,ivabc
9,dataset4,2,2.000000,700,ivabc,0,9,0.985714,27.582155,dataset-dataset4-mc-0.csv,ivabc
0,dataset4,2,2.000000,700,ivabc,9,0,0.957143,29.525681,dataset-dataset4-mc-9.csv,ivabc
1,dataset4,2,2.000000,700,ivabc,9,1,0.957143,25.484557,dataset-dataset4-mc-9.csv,ivabc
2,dataset4,2,2.000000,700,ivabc,9,2,0.971429,41.181336,dataset-dataset4-mc-9.csv,ivabc
3,dataset4,2,2.000000,700,ivabc,9,3,0.900000,31.838054,dataset-dataset4-mc-9.csv,ivabc
4,dataset4,2,2.000000,700,ivabc,9,4,0.971429,25.981123,dataset-dataset4-mc-9.csv,ivabc
5,dataset4,2,2.000000,700,ivabc,9,5,0.957143,33.636911,dataset-dataset4-mc-9.csv,ivabc
6,dataset4,2,2.000000,700,ivabc,9,6,0.942857,32.196797,dataset-dataset4-mc-9.csv,ivabc
7,dataset4,2,2.000000,700,ivabc,9,7,0.971429,45.150880,dataset-dataset4-mc-9.csv,ivabc
8,dataset4,2,2.000000,700,ivabc,9,8,0.942857,50.643062,dataset-dataset4-mc-9.csv,ivabc
