dataset,classifier,acc_mean_Euclidean,acc_std_Euclidean,time_mean_Euclidean,time_std_Euclidean,acc_mean_Hausdorff,acc_std_Hausdorff,time_mean_Hausdorff,time_std_Hausdorff,acc_mean_Block,acc_std_Block,time_mean_Block,time_std_Block
dataset3,sdsa_not_update,,,,,,,,,0.954,0.023643,0.014223,0.003719
dataset3,sdsa_rf,0.947571,0.026634,0.544205,0.129665,,,,,0.938571,0.025884,0.42953,0.097508
dataset3,sdsa_rf_not_update,0.945,0.027194,0.406528,0.083602,,,,,0.938429,0.027892,0.283261,0.060492
dataset3,sdsa_svc,0.947429,0.026309,0.161856,0.061628,,,,,0.954857,0.022947,0.136916,0.038347
dataset3,sdsa_svc_not_update,0.947857,0.026269,0.013481,0.005161,,,,,0.954,0.023643,0.016358,0.002778
dataset3,sdsa_xgb,0.943429,0.027084,243.566601,16.397072,,,,,,,,
dataset3,sdsa_xgb_not_update,0.943,0.026278,0.534747,0.194784,,,,,,,,
dataset4,ivabc,0.954143,0.027862,49.211072,25.045531,0.954143,0.027862,49.211072,25.045531,0.954143,0.027862,49.211072,25.045531
dataset4,knn,0.778286,0.051226,1.8e-05,1.2e-05,,,,,,,,
dataset4,sdsa,,,,,,,,,0.724429,0.050652,0.13785,0.039105
dataset4,sdsa_knn,0.705571,0.049274,0.20028,0.057369,,,,,0.711571,0.052349,0.189311,0.058088
dataset4,sdsa_knn_not_update,0.707714,0.048792,0.018698,0.007217,,,,,0.711857,0.052166,0.018486,0.007164
dataset4,sdsa_lr,0.905714,0.040406,98.696204,39.250458,,,,,,,,
dataset4,sdsa_lr_not_update,0.904714,0.04201,118.309122,69.233781,,,,,,,,
dataset4,sdsa_not_update,,,,,,,,,0.725,0.051101,0.021261,0.005317
dataset4,sdsa_rf,0.729857,0.050928,0.523757,0.104239,,,,,0.707714,0.060453,0.492612,0.104603
dataset4,sdsa_rf_not_update,0.728571,0.047878,0.378865,0.063453,,,,,0.709143,0.058304,0.366508,0.073729
dataset4,sdsa_svc,0.726286,0.051396,0.165934,0.045149,,,,,0.724429,0.050652,0.138213,0.039182
dataset4,sdsa_svc_not_update,0.726286,0.050994,0.024789,0.007012,,,,,0.725,0.051101,0.024533,0.005253
dataset4,sdsa_xgb,0.735714,0.051827,276.651884,12.545856,,,,,,,,
dataset4,sdsa_xgb_not_update,0.727857,0.053312,265.625177,1.639064,,,,,,,,
dry_climates,ivabc,0.943081,0.031174,2904.91557,8619.503338,0.943081,0.031174,2904.91557,8619.503338,0.943081,0.031174,2904.91557,8619.503338
dry_climates,knn,0.943291,0.029915,2.8e-05,2.4e-05,,,,,,,,
dry_climates,sdsa,0.926255,0.037231,0.797076,0.240792,0.912094,0.036578,0.235276,0.068277,0.924724,0.035135,0.232124,0.068479
dry_climates,sdsa_knn,0.944641,0.030651,0.78142,0.077975,0.933959,0.035814,0.269794,0.074637,0.940218,0.030043,0.26104,0.069836
dry_climates,sdsa_knn_not_update,0.941012,0.029981,0.055968,0.030463,0.934329,0.034364,0.031487,0.013877,0.942725,0.028641,0.036153,0.015824
dry_climates,sdsa_lr,0.95,0.031828,15.834933,6.819595,,,,,,,,
dry_climates,sdsa_lr_not_update,0.951738,0.031911,5.361376,1.883688,,,,,,,,
dry_climates,sdsa_not_update,0.927384,0.036421,0.104988,0.028506,0.91094,0.035692,0.043701,0.010598,0.922413,0.034869,0.057674,0.010451
dry_climates,sdsa_rf,0.947123,0.029292,1.653425,0.413919,0.943146,0.030692,0.451057,0.120727,0.947308,0.030509,0.44339,0.119474
dry_climates,sdsa_rf_not_update,0.946923,0.028794,0.585602,0.168833,0.944467,0.027629,0.25824,0.059042,0.947707,0.029428,0.257013,0.056519
dry_climates,sdsa_svc,0.930047,0.036479,1.322152,0.340091,0.942729,0.031423,0.208147,0.062833,0.942308,0.031994,0.208198,0.063428
dry_climates,sdsa_svc_not_update,0.930051,0.036982,0.076554,0.013375,0.942921,0.032067,0.017475,0.005051,0.942115,0.031709,0.017463,0.00506
dry_climates,sdsa_xgb,0.95229,0.030046,1.87349,0.295154,,,,,,,,
