Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
7,mushroom,2,3.000000,154,sdsa_svc,4,7,0.733333,0.110375
8,mushroom,2,3.000000,154,sdsa_svc,4,8,0.733333,0.097482
9,mushroom,2,3.000000,154,sdsa_svc,4,9,0.733333,0.135335
0,dataset2,2,2.000000,700,sdsa_svc,4,0,0.928571,0.335237
1,dataset2,2,2.000000,700,sdsa_svc,4,1,0.914286,0.362303
2,dataset2,2,2.000000,700,sdsa_svc,4,2,0.942857,0.357602
3,dataset2,2,2.000000,700,sdsa_svc,4,3,0.914286,0.344633
4,dataset2,2,2.000000,700,sdsa_svc,4,4,0.957143,0.335701
5,dataset2,2,2.000000,700,sdsa_svc,4,5,0.985714,0.328000
6,dataset2,2,2.000000,700,sdsa_svc,4,6,0.928571,0.338274
7,dataset2,2,2.000000,700,sdsa_svc,4,7,0.942857,0.327681
8,dataset2,2,2.000000,700,sdsa_svc,4,8,0.971429,0.367104
9,dataset2,2,2.000000,700,sdsa_svc,4,9,0.957143,0.264580
0,dataset1,2,2.000000,400,sdsa_svc,7,0,0.925000,0.038528
1,dataset1,2,2.000000,400,sdsa_svc,7,1,0.925000,0.045720
2,dataset1,2,2.000000,400,sdsa_svc,7,2,0.850000,0.038001
3,dataset1,2,2.000000,400,sdsa_svc,7,3,0.875000,0.038762
4,dataset1,2,2.000000,400,sdsa_svc,7,4,0.900000,0.056828
5,dataset1,2,2.000000,400,sdsa_svc,7,5,0.950000,0.055327
6,dataset1,2,2.000000,400,sdsa_svc,7,6,0.950000,0.038621
7,dataset1,2,2.000000,400,sdsa_svc,7,7,0.925000,0.045815
8,dataset1,2,2.000000,400,sdsa_svc,7,8,0.950000,0.030378
9,dataset1,2,2.000000,400,sdsa_svc,7,9,0.950000,0.031711
0,european-climates,2,16.000000,324,sdsa_svc,9,0,0.909091,0.733805
1,european-climates,2,16.000000,324,sdsa_svc,9,1,0.939394,0.506899
2,european-climates,2,16.000000,324,sdsa_svc,9,2,1.000000,0.445510
