Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time,source_file,algorithm
9,mushroom,2,3.000000,154,sdsa_svc,5,9,0.733333,0.014474,dataset-mushroom-mc-5.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,4,0,0.981132,0.176619,dataset-dry-climates-mc-4.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,4,1,0.905660,0.174317,dataset-dry-climates-mc-4.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,4,2,0.942308,0.172632,dataset-dry-climates-mc-4.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,4,3,0.942308,0.172969,dataset-dry-climates-mc-4.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,4,4,0.961538,0.176566,dataset-dry-climates-mc-4.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,4,5,0.980769,0.174552,dataset-dry-climates-mc-4.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,4,6,0.923077,0.178287,dataset-dry-climates-mc-4.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,4,7,0.884615,0.177608,dataset-dry-climates-mc-4.csv,sdsa_svc
8,dry-climates,3,16.000000,522,sdsa_svc,4,8,0.942308,0.174593,dataset-dry-climates-mc-4.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,4,9,0.942308,0.177629,dataset-dry-climates-mc-4.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,6,0,0.943396,0.336765,dataset-dry-climates-mc-6.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,6,1,0.943396,0.329482,dataset-dry-climates-mc-6.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,6,2,0.923077,0.330568,dataset-dry-climates-mc-6.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,6,3,0.923077,0.314997,dataset-dry-climates-mc-6.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,6,4,0.961538,0.326661,dataset-dry-climates-mc-6.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,6,5,0.961538,0.235405,dataset-dry-climates-mc-6.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,6,6,0.942308,0.162684,dataset-dry-climates-mc-6.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,6,7,0.923077,0.158807,dataset-dry-climates-mc-6.csv,sdsa_svc
8,dry-climates,3,16.000000,522,sdsa_svc,6,8,0.980769,0.154865,dataset-dry-climates-mc-6.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,6,9,0.942308,0.150874,dataset-dry-climates-mc-6.csv,sdsa_svc
0,climates,10,16.000000,1415,sdsa_svc,7,0,0.690141,0.542206,dataset-climates-mc-7.csv,sdsa_svc
1,climates,10,16.000000,1415,sdsa_svc,7,1,0.753521,0.558672,dataset-climates-mc-7.csv,sdsa_svc
2,climates,10,16.000000,1415,sdsa_svc,7,2,0.676056,0.566515,dataset-climates-mc-7.csv,sdsa_svc
3,climates,10,16.000000,1415,sdsa_svc,7,3,0.669014,0.578723,dataset-climates-mc-7.csv,sdsa_svc
4,climates,10,16.000000,1415,sdsa_svc,7,4,0.725352,0.553552,dataset-climates-mc-7.csv,sdsa_svc
5,climates,10,16.000000,1415,sdsa_svc,7,5,0.751773,0.563730,dataset-climates-mc-7.csv,sdsa_svc
6,climates,10,16.000000,1415,sdsa_svc,7,6,0.794326,0.545091,dataset-climates-mc-7.csv,sdsa_svc
7,climates,10,16.000000,1415,sdsa_svc,7,7,0.730496,0.563978,dataset-climates-mc-7.csv,sdsa_svc
8,climates,10,16.000000,1415,sdsa_svc,7,8,0.730496,0.556592,dataset-climates-mc-7.csv,sdsa_svc
9,climates,10,16.000000,1415,sdsa_svc,7,9,0.709220,0.578020,dataset-climates-mc-7.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,8,0,0.943396,0.178049,dataset-dry-climates-mc-8.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,8,1,0.924528,0.184238,dataset-dry-climates-mc-8.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,8,2,1.000000,0.175745,dataset-dry-climates-mc-8.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,8,3,0.980769,0.186486,dataset-dry-climates-mc-8.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,8,4,0.903846,0.182921,dataset-dry-climates-mc-8.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,8,5,0.942308,0.178412,dataset-dry-climates-mc-8.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,8,6,0.961538,0.178527,dataset-dry-climates-mc-8.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,8,7,0.961538,0.177835,dataset-dry-climates-mc-8.csv,sdsa_svc
8,dry-climates,3,16.000000,522,sdsa_svc,8,8,0.942308,0.176618,dataset-dry-climates-mc-8.csv,sdsa_svc
9,dry-climates,3,16.000000,522,sdsa_svc,8,9,0.903846,0.178767,dataset-dry-climates-mc-8.csv,sdsa_svc
0,dry-climates,3,16.000000,522,sdsa_svc,2,0,0.981132,0.181176,dataset-dry-climates-mc-2.csv,sdsa_svc
1,dry-climates,3,16.000000,522,sdsa_svc,2,1,0.924528,0.198544,dataset-dry-climates-mc-2.csv,sdsa_svc
2,dry-climates,3,16.000000,522,sdsa_svc,2,2,0.980769,0.191478,dataset-dry-climates-mc-2.csv,sdsa_svc
3,dry-climates,3,16.000000,522,sdsa_svc,2,3,0.961538,0.199041,dataset-dry-climates-mc-2.csv,sdsa_svc
4,dry-climates,3,16.000000,522,sdsa_svc,2,4,0.923077,0.188992,dataset-dry-climates-mc-2.csv,sdsa_svc
5,dry-climates,3,16.000000,522,sdsa_svc,2,5,0.903846,0.193019,dataset-dry-climates-mc-2.csv,sdsa_svc
6,dry-climates,3,16.000000,522,sdsa_svc,2,6,0.903846,0.186189,dataset-dry-climates-mc-2.csv,sdsa_svc
7,dry-climates,3,16.000000,522,sdsa_svc,2,7,0.961538,0.185218,dataset-dry-climates-mc-2.csv,sdsa_svc
