,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,ivabc,3,0,0.9056603773584906,401.07844710350037
1,dry-climates,3,32,522,ivabc,3,1,0.9811320754716981,288.92029905319214
2,dry-climates,3,32,522,ivabc,3,2,0.9811320754716981,604.5482521057129
3,dry-climates,3,32,522,ivabc,3,3,0.9622641509433962,704.9942600727081
4,dry-climates,3,32,522,ivabc,3,4,0.9245283018867925,378.57290744781494
5,dry-climates,3,32,522,ivabc,3,5,0.8846153846153846,465.82232451438904
6,dry-climates,3,32,522,ivabc,3,6,0.9615384615384616,320.60441517829895
7,dry-climates,3,32,522,ivabc,3,7,0.9423076923076923,292.2222809791565
8,dry-climates,3,32,522,ivabc,3,8,0.9411764705882353,652.4090135097504
9,dry-climates,3,32,522,ivabc,3,9,0.92,468.3253800868988
