,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,ivabc,9,0,0.9245283018867925,633.2106385231018
1,dry-climates,3,32,522,ivabc,9,1,0.8490566037735849,341.4959783554077
2,dry-climates,3,32,522,ivabc,9,2,0.9811320754716981,345.19517970085144
3,dry-climates,3,32,522,ivabc,9,3,0.9433962264150944,379.99970030784607
4,dry-climates,3,32,522,ivabc,9,4,0.9433962264150944,200.77042603492737
5,dry-climates,3,32,522,ivabc,9,5,0.9038461538461539,335.184809923172
6,dry-climates,3,32,522,ivabc,9,6,0.9615384615384616,609.6755549907684
7,dry-climates,3,32,522,ivabc,9,7,0.9615384615384616,526.8411130905151
8,dry-climates,3,32,522,ivabc,9,8,0.9019607843137255,202.91643381118774
9,dry-climates,3,32,522,ivabc,9,9,0.94,339.4267704486847
