,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,ivabc,7,0,0.9393939393939394,227.36408805847168
1,european-climates,2,32,324,ivabc,7,1,0.9393939393939394,127.51242113113403
2,european-climates,2,32,324,ivabc,7,2,1.0,99.17696928977966
3,european-climates,2,32,324,ivabc,7,3,0.9696969696969697,134.1362006664276
4,european-climates,2,32,324,ivabc,7,4,0.9393939393939394,78.57463717460632
5,european-climates,2,32,324,ivabc,7,5,1.0,95.99244999885559
6,european-climates,2,32,324,ivabc,7,6,1.0,77.0087080001831
7,european-climates,2,32,324,ivabc,7,7,0.875,49.45066499710083
8,european-climates,2,32,324,ivabc,7,8,1.0,81.86215424537659
9,european-climates,2,32,324,ivabc,7,9,1.0,38.20478844642639
