,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,ivabc,4,0,0.9056603773584906,231.88127183914185
1,dry-climates,3,32,522,ivabc,4,1,0.9622641509433962,468.14388394355774
2,dry-climates,3,32,522,ivabc,4,2,0.9433962264150944,252.45868349075317
3,dry-climates,3,32,522,ivabc,4,3,0.8679245283018868,487.34002017974854
4,dry-climates,3,32,522,ivabc,4,4,0.9622641509433962,503.74886894226074
5,dry-climates,3,32,522,ivabc,4,5,0.9230769230769231,385.36959075927734
6,dry-climates,3,32,522,ivabc,4,6,0.9615384615384616,368.28700017929077
7,dry-climates,3,32,522,ivabc,4,7,0.9615384615384616,280.23212361335754
8,dry-climates,3,32,522,ivabc,4,8,0.9607843137254902,814.5945885181427
9,dry-climates,3,32,522,ivabc,4,9,0.94,699.1008672714233
