,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry_climates,3,32,522,ivabc,8,0,0.9245283018867925,402.78074622154236
1,dry_climates,3,32,522,ivabc,8,1,0.9622641509433962,275.1425406932831
2,dry_climates,3,32,522,ivabc,8,2,0.9622641509433962,614.7582101821899
3,dry_climates,3,32,522,ivabc,8,3,0.9622641509433962,335.90484046936035
4,dry_climates,3,32,522,ivabc,8,4,0.9622641509433962,471.5797345638275
5,dry_climates,3,32,522,ivabc,8,5,0.9230769230769231,561.4202415943146
6,dry_climates,3,32,522,ivabc,8,6,0.9230769230769231,370.2399010658264
7,dry_climates,3,32,522,ivabc,8,7,0.9423076923076923,164.75699472427368
8,dry_climates,3,32,522,ivabc,8,8,0.9411764705882353,251.4021532535553
9,dry_climates,3,32,522,ivabc,8,9,0.94,137.84426140785217
0,dry_climates,3,32,522,ivabc,9,0,0.9245283018867925,633.2106385231018
1,dry_climates,3,32,522,ivabc,9,1,0.8490566037735849,341.4959783554077
2,dry_climates,3,32,522,ivabc,9,2,0.9811320754716981,345.19517970085144
3,dry_climates,3,32,522,ivabc,9,3,0.9433962264150944,379.99970030784607
4,dry_climates,3,32,522,ivabc,9,4,0.9433962264150944,200.77042603492737
5,dry_climates,3,32,522,ivabc,9,5,0.9038461538461539,335.184809923172
6,dry_climates,3,32,522,ivabc,9,6,0.9615384615384616,609.6755549907684
7,dry_climates,3,32,522,ivabc,9,7,0.9615384615384616,526.8411130905151
8,dry_climates,3,32,522,ivabc,9,8,0.9019607843137255,202.91643381118774
9,dry_climates,3,32,522,ivabc,9,9,0.94,339.4267704486847
0,european_climates,2,32,324,ivabc,0,0,0.8787878787878788,125.45840907096863
1,european_climates,2,32,324,ivabc,0,1,0.9696969696969697,106.11548161506653
2,european_climates,2,32,324,ivabc,0,2,1.0,153.60200452804565
3,european_climates,2,32,324,ivabc,0,3,0.9090909090909091,139.96991896629333
4,european_climates,2,32,324,ivabc,0,4,1.0,119.52981925010681
5,european_climates,2,32,324,ivabc,0,5,0.9090909090909091,89.60399127006531
6,european_climates,2,32,324,ivabc,0,6,0.96875,142.86032700538635
7,european_climates,2,32,324,ivabc,0,7,0.90625,175.70854926109314
8,european_climates,2,32,324,ivabc,0,8,1.0,71.56934976577759
9,european_climates,2,32,324,ivabc,0,9,0.967741935483871,244.052316904068
0,european_climates,2,32,324,ivabc,1,0,0.9393939393939394,101.10165357589722
1,european_climates,2,32,324,ivabc,1,1,0.9090909090909091,85.0232105255127
2,european_climates,2,32,324,ivabc,1,2,1.0,57.94536519050598
3,european_climates,2,32,324,ivabc,1,3,0.9393939393939394,48.85828709602356
4,european_climates,2,32,324,ivabc,1,4,0.9696969696969697,60.16951012611389
5,european_climates,2,32,324,ivabc,1,5,1.0,79.10774731636047
6,european_climates,2,32,324,ivabc,1,6,0.9375,172.74498319625854
7,european_climates,2,32,324,ivabc,1,7,0.96875,91.61368918418884
8,european_climates,2,32,324,ivabc,1,8,1.0,223.39776182174683
9,european_climates,2,32,324,ivabc,1,9,0.967741935483871,101.8422040939331
0,european_climates,2,32,324,ivabc,2,0,0.9696969696969697,135.16296982765198
1,european_climates,2,32,324,ivabc,2,1,0.9393939393939394,70.61211395263672
2,european_climates,2,32,324,ivabc,2,2,0.9393939393939394,134.64109253883362
3,european_climates,2,32,324,ivabc,2,3,0.9393939393939394,175.18130135536194
4,european_climates,2,32,324,ivabc,2,4,1.0,73.69347643852234
5,european_climates,2,32,324,ivabc,2,5,1.0,102.83903789520264
6,european_climates,2,32,324,ivabc,2,6,0.9375,53.52762770652771
7,european_climates,2,32,324,ivabc,2,7,0.875,118.65602993965149
8,european_climates,2,32,324,ivabc,2,8,0.8709677419354839,156.48689079284668
9,european_climates,2,32,324,ivabc,2,9,0.967741935483871,164.04266905784607
0,european_climates,2,32,324,ivabc,3,0,0.9090909090909091,172.5990331172943
1,european_climates,2,32,324,ivabc,3,1,0.9393939393939394,240.91798281669617
2,european_climates,2,32,324,ivabc,3,2,0.9090909090909091,233.06130242347717
3,european_climates,2,32,324,ivabc,3,3,1.0,81.79353451728821
4,european_climates,2,32,324,ivabc,3,4,0.9696969696969697,131.80894660949707
5,european_climates,2,32,324,ivabc,3,5,0.9090909090909091,156.57845449447632
6,european_climates,2,32,324,ivabc,3,6,0.96875,148.61481261253357
7,european_climates,2,32,324,ivabc,3,7,0.9375,89.56092667579651
8,european_climates,2,32,324,ivabc,3,8,0.967741935483871,147.73235058784485
9,european_climates,2,32,324,ivabc,3,9,0.967741935483871,156.07020211219788
0,european_climates,2,32,324,ivabc,4,0,0.9696969696969697,96.60299444198608
1,european_climates,2,32,324,ivabc,4,1,0.9393939393939394,125.31234884262085
2,european_climates,2,32,324,ivabc,4,2,0.9090909090909091,91.45010352134705
3,european_climates,2,32,324,ivabc,4,3,0.9696969696969697,158.18541955947876
4,european_climates,2,32,324,ivabc,4,4,0.9393939393939394,174.71569347381592
5,european_climates,2,32,324,ivabc,4,5,0.9696969696969697,94.18504595756531
6,european_climates,2,32,324,ivabc,4,6,0.96875,61.667691707611084
7,european_climates,2,32,324,ivabc,4,7,0.96875,59.053751707077026
8,european_climates,2,32,324,ivabc,4,8,0.9354838709677419,57.46316647529602
9,european_climates,2,32,324,ivabc,4,9,0.9032258064516129,58.804364919662476
0,european_climates,2,32,324,ivabc,5,0,1.0,74.36879205703735
1,european_climates,2,32,324,ivabc,5,1,0.9090909090909091,90.43637609481812
2,european_climates,2,32,324,ivabc,5,2,0.9090909090909091,71.426100730896
3,european_climates,2,32,324,ivabc,5,3,0.9696969696969697,64.5007221698761
4,european_climates,2,32,324,ivabc,5,4,0.9393939393939394,117.35795307159424
5,european_climates,2,32,324,ivabc,5,5,1.0,80.67867755889893
6,european_climates,2,32,324,ivabc,5,6,0.96875,178.88611125946045
7,european_climates,2,32,324,ivabc,5,7,0.9375,103.37059831619263
8,european_climates,2,32,324,ivabc,5,8,0.9354838709677419,119.80938458442688
9,european_climates,2,32,324,ivabc,5,9,1.0,137.938542842865
0,european_climates,2,32,324,ivabc,6,0,0.9393939393939394,195.7014877796173
1,european_climates,2,32,324,ivabc,6,1,0.9090909090909091,84.01379442214966
2,european_climates,2,32,324,ivabc,6,2,0.9393939393939394,127.2493577003479
3,european_climates,2,32,324,ivabc,6,3,1.0,123.26317501068115
4,european_climates,2,32,324,ivabc,6,4,0.8787878787878788,39.56872916221619
5,european_climates,2,32,324,ivabc,6,5,1.0,37.04659867286682
6,european_climates,2,32,324,ivabc,6,6,0.96875,45.43334603309631
7,european_climates,2,32,324,ivabc,6,7,0.90625,90.21168613433838
8,european_climates,2,32,324,ivabc,6,8,0.967741935483871,58.26746678352356
9,european_climates,2,32,324,ivabc,6,9,0.967741935483871,71.9004294872284
0,european_climates,2,32,324,ivabc,7,0,0.9393939393939394,227.36408805847168
1,european_climates,2,32,324,ivabc,7,1,0.9393939393939394,127.51242113113403
2,european_climates,2,32,324,ivabc,7,2,1.0,99.17696928977966
3,european_climates,2,32,324,ivabc,7,3,0.9696969696969697,134.1362006664276
4,european_climates,2,32,324,ivabc,7,4,0.9393939393939394,78.57463717460632
5,european_climates,2,32,324,ivabc,7,5,1.0,95.99244999885559
6,european_climates,2,32,324,ivabc,7,6,1.0,77.0087080001831
7,european_climates,2,32,324,ivabc,7,7,0.875,49.45066499710083
8,european_climates,2,32,324,ivabc,7,8,1.0,81.86215424537659
9,european_climates,2,32,324,ivabc,7,9,1.0,38.20478844642639
0,european_climates,2,32,324,ivabc,8,0,0.9393939393939394,99.26841378211975
1,european_climates,2,32,324,ivabc,8,1,0.9696969696969697,62.63112664222717
2,european_climates,2,32,324,ivabc,8,2,0.9393939393939394,85.53124713897705
3,european_climates,2,32,324,ivabc,8,3,0.9696969696969697,136.40249395370483
4,european_climates,2,32,324,ivabc,8,4,0.9696969696969697,83.65298700332642
5,european_climates,2,32,324,ivabc,8,5,0.9393939393939394,64.54174494743347
6,european_climates,2,32,324,ivabc,8,6,0.96875,98.43440198898315
7,european_climates,2,32,324,ivabc,8,7,0.9375,77.61990427970886
8,european_climates,2,32,324,ivabc,8,8,0.9354838709677419,80.9435682296753
9,european_climates,2,32,324,ivabc,8,9,0.9032258064516129,49.40529441833496
0,european_climates,2,32,324,ivabc,9,0,0.9090909090909091,102.89538431167603
1,european_climates,2,32,324,ivabc,9,1,1.0,76.14918446540833
2,european_climates,2,32,324,ivabc,9,2,0.9696969696969697,62.551666498184204
3,european_climates,2,32,324,ivabc,9,3,0.9696969696969697,51.85273194313049
4,european_climates,2,32,324,ivabc,9,4,0.9696969696969697,57.08669090270996
5,european_climates,2,32,324,ivabc,9,5,0.9393939393939394,72.40724420547485
6,european_climates,2,32,324,ivabc,9,6,0.875,69.10885739326477
7,european_climates,2,32,324,ivabc,9,7,0.96875,52.0546088218689
8,european_climates,2,32,324,ivabc,9,8,0.9354838709677419,48.06859016418457
9,european_climates,2,32,324,ivabc,9,9,0.967741935483871,41.627959966659546
