,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,wflvq,0,0,0.8181818181818182,22.446370124816895
1,european-climates,2,32,324,wflvq,0,1,0.9696969696969697,27.71731209754944
2,european-climates,2,32,324,wflvq,0,2,0.9393939393939394,28.792363166809082
3,european-climates,2,32,324,wflvq,0,3,0.8484848484848485,23.888244152069092
4,european-climates,2,32,324,wflvq,0,4,0.9090909090909091,86.80090737342834
5,european-climates,2,32,324,wflvq,0,5,0.9393939393939394,27.745370388031006
6,european-climates,2,32,324,wflvq,0,6,0.9375,10.620545387268066
7,european-climates,2,32,324,wflvq,0,7,0.9375,95.97684812545776
8,european-climates,2,32,324,wflvq,0,8,0.9032258064516129,37.55918574333191
9,european-climates,2,32,324,wflvq,0,9,1.0,75.02260375022888
