,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,wflvq,9,0,0.8301886792452831,176.75081634521484
1,dry-climates,3,32,522,wflvq,9,1,0.7169811320754716,31.258527755737305
2,dry-climates,3,32,522,wflvq,9,2,0.8301886792452831,110.10181260108948
3,dry-climates,3,32,522,wflvq,9,3,0.8679245283018868,87.37598538398743
4,dry-climates,3,32,522,wflvq,9,4,0.9056603773584906,40.2403450012207
5,dry-climates,3,32,522,wflvq,9,5,0.8461538461538461,31.836678504943848
6,dry-climates,3,32,522,wflvq,9,6,0.7692307692307693,90.55947494506836
7,dry-climates,3,32,522,wflvq,9,7,0.7115384615384616,118.56418371200562
8,dry-climates,3,32,522,wflvq,9,8,0.8823529411764706,58.69689059257507
9,dry-climates,3,32,522,wflvq,9,9,0.86,79.11367702484131
