,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,wflvq,6,0,0.9696969696969697,91.78676462173462
1,european-climates,2,32,324,wflvq,6,1,0.8787878787878788,16.4461510181427
2,european-climates,2,32,324,wflvq,6,2,1.0,25.199963808059692
3,european-climates,2,32,324,wflvq,6,3,0.8787878787878788,19.329074382781982
4,european-climates,2,32,324,wflvq,6,4,0.9393939393939394,39.004576206207275
5,european-climates,2,32,324,wflvq,6,5,0.9696969696969697,18.359955549240112
6,european-climates,2,32,324,wflvq,6,6,0.9375,49.99780797958374
7,european-climates,2,32,324,wflvq,6,7,0.875,28.706258535385132
8,european-climates,2,32,324,wflvq,6,8,0.9032258064516129,43.16005754470825
9,european-climates,2,32,324,wflvq,6,9,0.9354838709677419,35.071044921875
