,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,european-climates,2,32,324,wflvq,9,0,0.9090909090909091,20.501624584197998
1,european-climates,2,32,324,wflvq,9,1,0.9393939393939394,29.830078125
2,european-climates,2,32,324,wflvq,9,2,0.9090909090909091,13.236752033233643
3,european-climates,2,32,324,wflvq,9,3,0.9696969696969697,33.07996439933777
4,european-climates,2,32,324,wflvq,9,4,0.9393939393939394,27.96524691581726
5,european-climates,2,32,324,wflvq,9,5,1.0,42.01756024360657
6,european-climates,2,32,324,wflvq,9,6,0.875,27.50980830192566
7,european-climates,2,32,324,wflvq,9,7,0.9375,36.511630058288574
8,european-climates,2,32,324,wflvq,9,8,0.8387096774193549,18.37910032272339
9,european-climates,2,32,324,wflvq,9,9,0.9354838709677419,43.57800006866455
