,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
0,dry-climates,3,32,522,wflvq,1,0,0.7169811320754716,128.7001883983612
1,dry-climates,3,32,522,wflvq,1,1,0.8867924528301887,33.056843280792236
2,dry-climates,3,32,522,wflvq,1,2,0.9245283018867925,124.07253408432007
3,dry-climates,3,32,522,wflvq,1,3,0.7924528301886793,58.20179891586304
4,dry-climates,3,32,522,wflvq,1,4,0.6792452830188679,65.29309153556824
5,dry-climates,3,32,522,wflvq,1,5,0.8461538461538461,73.47498989105225
6,dry-climates,3,32,522,wflvq,1,6,0.75,72.30843615531921
7,dry-climates,3,32,522,wflvq,1,7,0.9230769230769231,124.98554253578186
8,dry-climates,3,32,522,wflvq,1,8,0.9019607843137255,109.46758008003235
9,dry-climates,3,32,522,wflvq,1,9,0.84,175.76567006111145
